2019-05-05 01:39:18 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:39:49 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:40:20 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:41:52 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:42:23 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:42:54 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:43:25 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:43:56 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:44:26 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:44:57 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:45:28 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:46:30 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:47:01 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:47:32 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:48:03 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:49:35 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:50:37 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:51:07 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:51:38 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:52:09 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:52:39 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:53:09 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:53:40 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:54:11 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:55:12 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:55:43 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:56:14 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:56:45 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:58:18 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:58:48 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 01:59:50 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:00:21 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:01:53 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:02:24 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:02:55 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:03:25 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:03:56 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:04:27 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:05:29 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:06:00 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:07:01 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:07:32 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:08:03 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:08:34 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:09:05 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:09:36 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:10:07 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:10:08 ERROR (Thread-5) [pychromecast.socket_client] [group 1:42316] Error reading from socket.
2019-05-05 02:10:08 WARNING (Thread-5) [pychromecast.socket_client] [group 1:42316] Error communicating with socket, resetting connection
2019-05-05 02:10:37 WARNING (Thread-4) [pychromecast.socket_client] [Master Bedroom Speaker:8009] Heartbeat timeout, resetting connection
2019-05-05 02:10:54 ERROR (Thread-5) [pychromecast.socket_client] [group 1:42316] Error reading from socket.
2019-05-05 02:10:54 WARNING (Thread-5) [pychromecast.socket_client] [group 1:42316] Error communicating with socket, resetting connection
2019-05-05 02:10:54 ERROR (Thread-5) [pychromecast.socket_client] [group 1:42316] Failed to connect to service Google-Cast-Group-DFD6517A121A4433BCED519D158DC7EB._googlecast._tcp.local., retrying in 5.0s
2019-05-05 02:11:09 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:11:40 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 02:12:11 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
